Individual	Number	PopName
E_latirostris__BDI_Kibira__FMNH346297	1	Burundi
E_latirostris__BDI_Kibira__FMNH357966	2	Burundi
E_latirostris__CAF_Dzanga__FMNH429442	3	Central African Republic
E_latirostris__CAF_Dzanga__FMNH429445	4	Central African Republic
E_latirostris__CAF_Dzanga__FMNH429448	5	Central African Republic
E_latirostris__CMR_Nzimdipnenkum__FMNH511209	6	Cameroon
E_latirostris__CMR_Nzimdipnenkum__FMNH511210	7	Cameroon
E_latirostris__COD_Boende__FMNH490182	8	Republic of Congo
E_latirostris__COD_Boende__FMNH490193	9	Republic of Congo
E_latirostris__COD_Boende__FMNH490213	10	Republic of Congo
E_latirostris__COD_Idjwi__FMNH429729	11	Republic of Congo
E_latirostris__COD_KahuziBiega__FMNH481070	12	Republic of Congo
E_latirostris__COD_KahuziBiega__FMNH481071	13	Republic of Congo
E_latirostris__COD_KahuziBiega__FMNH481072	14	Republic of Congo
E_latirostris__COD_Kangala__FMNH481083	15	Republic of Congo
E_latirostris__COD_Kangala__FMNH481084	16	Republic of Congo
E_latirostris__COD_Kangala__FMNH481085	17	Republic of Congo
E_latirostris__COD_Luki__FMNH490024	18	Republic of Congo
E_latirostris__COD_Luki__FMNH490025	19	Republic of Congo
E_latirostris__COD_Luki__FMNH490026	20	Republic of Congo
E_latirostris__COD_Tschambi__FMNH473401	21	Republic of Congo
E_latirostris__COD_Tschambi__FMNH473402	22	Republic of Congo
E_latirostris__GAB_Doussala__FMNH389319	23	Gabon
E_latirostris__GAB_Doussala__FMNH396330	24	Gabon
E_latirostris__GAB_Doussala__FMNH396331	25	Gabon
E_latirostris__GHA_AssinFoso__FMNH396575	26	Ghana
E_latirostris__GHA_AssinFoso__FMNH396576	27	Ghana
E_latirostris__GNQ_Moka__KU32866	28	Equatorial Guinea
E_latirostris__GNQ_Moka__KU32908	29	Equatorial Guinea
E_latirostris__GNQ_Moka__KU32961	30	Equatorial Guinea
E_latirostris__GNQ_MonteAlen__KU8325	31	Equatorial Guinea
E_latirostris__GNQ_MonteAlen__KU8326	32	Equatorial Guinea
E_latirostris__GNQ_MonteAlen__KU8332	33	Equatorial Guinea
E_latirostris__SLE_KambuiHills__KU19685	34	Sierra Leone
E_latirostris__SLE_KambuiHills__KU19697	35	Sierra Leone
E_latirostris__SLE_KambuiHills__KU19776	36	Sierra Leone
E_latirostris__UGA_AgoroAgu__FMNH489311	37	Uganda
E_latirostris__UGA_AgoroAgu__FMNH489312	38	Uganda
E_latirostris__UGA_AgoroAgu__FMNH489313	39	Uganda
E_latirostris__UGA_Echuya__FMNH384894	40	Uganda
E_latirostris__UGA_Echuya__FMNH384895	41	Uganda
E_latirostris__UGA_Echuya__FMNH384896	42	Uganda
E_latirostris__UGA_Nteko__FMNH384909	43	Uganda
E_latirostris__UGA_Nteko__FMNH384910	44	Uganda
E_latirostris__UGA_Nteko__FMNH384911	45	Uganda
E_latirostris__UGA_Rwenzori__FMNH355307	46	Uganda
E_latirostris__UGA_Rwenzori__FMNH355308	47	Uganda
E_latirostris__UGA_Rwenzori__FMNH355309	48	Uganda
E_latirostris__UGA_Rwenzori__FMNH355310	49	Uganda
E_latirostris__UGA_Rwenzori__FMNH355311	50	Uganda
E_virens__CMR_Nzimdipnenkum__FMNH511205	51	outgroup
E_virens__COD_Uma__FMNH501571	52	outgroup
