Individual	Number	PopName
E_latirostris__BDI_Kibira__FMNH346297	1	East
E_latirostris__BDI_Kibira__FMNH357966	2	East
E_latirostris__CAF_Dzanga__FMNH429442	3	Central
E_latirostris__CAF_Dzanga__FMNH429445	4	Central
E_latirostris__CAF_Dzanga__FMNH429448	5	Central
E_latirostris__CMR_Nzimdipnenkum__FMNH511209	6	Central
E_latirostris__CMR_Nzimdipnenkum__FMNH511210	7	Central
E_latirostris__COD_Boende__FMNH490182	8	C_discordant
E_latirostris__COD_Boende__FMNH490193	9	C_discordant
E_latirostris__COD_Boende__FMNH490213	10	C_discordant
E_latirostris__COD_Idjwi__FMNH429729	11	East
E_latirostris__COD_KahuziBiega__FMNH481070	12	East
E_latirostris__COD_KahuziBiega__FMNH481071	13	East
E_latirostris__COD_KahuziBiega__FMNH481072	14	East
E_latirostris__COD_Kangala__FMNH481083	15	East
E_latirostris__COD_Kangala__FMNH481084	16	East
E_latirostris__COD_Kangala__FMNH481085	17	East
E_latirostris__COD_Luki__FMNH490024	18	Central
E_latirostris__COD_Luki__FMNH490025	19	Central
E_latirostris__COD_Luki__FMNH490026	20	Central
E_latirostris__COD_Tschambi__FMNH473401	21	C_discordant
E_latirostris__COD_Tschambi__FMNH473402	22	C_discordant
E_latirostris__GAB_Doussala__FMNH389319	23	Central
E_latirostris__GAB_Doussala__FMNH396330	24	Central
E_latirostris__GAB_Doussala__FMNH396331	25	Central
E_latirostris__GHA_AssinFoso__FMNH396575	26	West
E_latirostris__GHA_AssinFoso__FMNH396576	27	West
E_latirostris__GNQ_Moka__KU32866	28	Central
E_latirostris__GNQ_Moka__KU32908	29	Central
E_latirostris__GNQ_Moka__KU32961	30	Central
E_latirostris__GNQ_MonteAlen__KU8325	31	Central
E_latirostris__GNQ_MonteAlen__KU8326	32	Central
E_latirostris__GNQ_MonteAlen__KU8332	33	Central
E_latirostris__SLE_KambuiHills__KU19685	34	West
E_latirostris__SLE_KambuiHills__KU19697	35	West
E_latirostris__SLE_KambuiHills__KU19776	36	West
E_latirostris__UGA_AgoroAgu__FMNH489311	37	Northeast
E_latirostris__UGA_AgoroAgu__FMNH489312	38	Northeast
E_latirostris__UGA_Echuya__FMNH384894	39	East
E_latirostris__UGA_Echuya__FMNH384895	40	East
E_latirostris__UGA_Echuya__FMNH384896	41	East
E_latirostris__UGA_Nteko__FMNH384909	42	East
E_latirostris__UGA_Nteko__FMNH384910	43	East
E_latirostris__UGA_Nteko__FMNH384911	44	East
E_latirostris__UGA_Rwenzori__FMNH355307	45	Rwenzori
E_latirostris__UGA_Rwenzori__FMNH355308	46	Rwenzori
E_latirostris__UGA_Rwenzori__FMNH355309	47	Rwenzori
E_latirostris__UGA_Rwenzori__FMNH355310	48	Rwenzori
E_latirostris__UGA_Rwenzori__FMNH355311	49	Rwenzori
