Individual	Number	PopName
E_latirostris__BDI_Kibira__FMNH346297_	1	East
E_latirostris__BDI_Kibira__FMNH357966_	2	East
E_latirostris__CAF_Dzanga__FMNH429445_	3	Central
E_latirostris__CAF_Dzanga__FMNH429448_	4	Central
E_latirostris__CMR_Nzimdipnenkum__FMNH511209_	5	Central
E_latirostris__COD_Boende__FMNH490193_	6	Central
E_latirostris__COD_Idjwi__FMNH429729_	7	East
E_latirostris__COD_KahuziBiega__FMNH481070_	8	East
E_latirostris__COD_KahuziBiega__FMNH481072_	9	East
E_latirostris__COD_Kangala__FMNH481085_	10	East
E_latirostris__COD_Luki__FMNH490024_	11	Central
E_latirostris__COD_Luki__FMNH490025_	12	Central
E_latirostris__COD_Luki__FMNH490026_	13	Central
E_latirostris__COD_Tschambi__FMNH473401_	14	Central
E_latirostris__COD_Tschambi__FMNH473402_	15	Central
E_latirostris__GAB_Doussala__FMNH389319_	16	Central
E_latirostris__GAB_Doussala__FMNH396331_	17	Central
E_latirostris__GNQ_Moka__KU32961_	18	Central
E_latirostris__GNQ_MonteAlen__KU8325_	19	Central
E_latirostris__GNQ_MonteAlen__KU8326_	20	Central
E_latirostris__UGA_AgoroAgu__FMNH489311_	21	East
E_latirostris__UGA_Echuya__FMNH384894_	22	East
E_latirostris__UGA_Nteko__FMNH384910_	23	East
E_latirostris__UGA_Rwenzori__FMNH355311_	24	East
